# 频道列表格式说明：
# 1. 国家行：单独一行，格式为"国家名称+国家代码"（如"英国UK"、"中国CN"）
# 2. 频道行：位于国家行下方，格式为"tvg-id,tvg-name,备注"
# 3. #开头为注释，空行自动忽略
# 提示：tvg-id和tvg-name需从原始EPG中复制准确值


中国CN
464587,CCTV-1 综合,CCTV1
464588,CCTV-2 财经,CCTV2
464589,CCTV-3 综艺,CCTV3
464590,CCTV-4 (亚洲),CCTV4
404606,CCTV-4 (欧洲),CCTV4欧洲
464607,CCTV-4 (美洲),CCTV4美洲
464591,CCTV-5 体育,CCTV5
464592,CCTV-5+ 体育赛事,CCTV5+
464593,CCTV-6 电影,CCTV6
464594,CCTV-7 国防军事,CCTV7
464595,CCTV-8 电视剧,CCTV8
464596,CCTV-9 纪录,CCTV9
464597,CCTV-10 科教,CCTV10
464598,CCTV-11 戏曲,CCTV11
464599,CCTV-12 社会与法,CCTV12
464600,CCTV-13 新闻,CCTV13
464601,CCTV-14 少儿,CCTV14
464602,CCTV-15 音乐,CCTV15
464603,CCTV-16奥林匹克,CCTV16
464604,CCTV-17农业农村,CCTV17
457573,CCTV4K,CCTV4K
464605,CCTV-8K,CCTV8K
378838,CGTN,CGTN

457802,CHC动作电影,CHC 动作电影
458167,CHC家庭影院,CHC 家庭影院
重温经典频道,重温经典频道,重温经典频道

378857,重庆卫视,重庆卫视
464631,四川卫视,四川卫视
378861,贵州卫视,贵州卫视
378848,东方卫视,东方卫视
378844,湖南卫视,湖南卫视
464615,广东卫视,广东卫视
378851,深圳卫视,深圳卫视
464632,天津卫视,天津卫视
13889,湖北卫视,湖北卫视
378853,辽宁卫视,辽宁卫视
464617,安徽卫视,安徽卫视
464613,浙江卫视,浙江卫视
464612,山东卫视,山东卫视
464608,北京卫视,北京卫视
464614,江苏卫视,江苏卫视
378862,黑龙江卫视,黑龙江卫视
464635,河北卫视,河北卫视
464625,云南卫视,云南卫视
464627,江西卫视,江西卫视
464616,东南卫视,东南卫视
464620,海南卫视,海南卫视
464639,吉林卫视,吉林卫视
378859,甘肃卫视,甘肃卫视
464636,河南卫视,河南卫视
464621,内蒙古卫视,内蒙古卫视
13896,陕西卫视,陕西卫视
464633,广西卫视,广西卫视
378868,青海卫视,青海卫视
464642,新疆卫视,新疆卫视
378877,西藏卫视,西藏卫视
464624,厦门卫视,厦门卫视
464622,宁夏卫视,宁夏卫视
464628,山西卫视,山西卫视
464643,兵团卫视,兵团卫视
378876,康巴卫视,康巴卫视
464640,延边卫视,延边卫视
457585,大湾区卫视,大湾区卫视
476302,香港卫视,香港卫视
418445,三沙卫视,三沙卫视

山东体育,山东体育,山东体育休闲
山东农科,山东农科,山东农科
山东少儿,山东少儿,山东少儿
山东教育,山东教育,山东教育
山东文旅,山东文旅,山东文旅
山东新闻,山东新闻,山东新闻
山东生活,山东生活,山东生活
山东综艺,山东综艺,山东综艺
山东齐鲁,山东齐鲁,山东齐鲁

476376,青岛新闻综合,青岛新闻综合QTV1
476215,青岛生活服务,青岛生活服务QTV2
476274,青岛影视,青岛影视QTV3
476285,青岛财经资讯,青岛财经资讯QTV4
476243,青岛都市,青岛都市QTV5
476361,青岛教育,青岛教育QTV6

上海教育,上海教育,上海教育
上海新闻综合,上海新闻综合,上海新闻综合
上海第一财经,上海第一财经,上海第一财经
都市频道,都市频道,上海都市
457774,上海纪实人文,上海纪实人文
东方影视,东方影视,东方影视
五星体育,五星体育,五星体育
哈哈炫动,哈哈炫动,哈哈炫动
劲爆体育,劲爆体育,劲爆体育

137,北京体育休闲,北京体育休闲
北京国际,北京国际,北京国际
北京影视,北京影视,北京影视
北京文艺,北京文艺,北京文艺
北京新闻,北京新闻,北京新闻
北京生活,北京生活,北京生活
北京科教,北京科教,北京纪实科教
北京财经,北京财经,北京财经
卡酷少儿,卡酷少儿,卡酷少儿

207,之江纪录,之江纪录
浙江国际,浙江国际,浙江国际
浙江少儿,浙江少儿,浙江少儿
浙江科教,浙江科教,浙江教科影视
浙江新闻,浙江新闻,浙江公共新闻
浙江民生,浙江民生,浙江民生休闲
浙江经济,浙江经济,浙江经济生活
浙江钱江都市,浙江钱江都市,浙江钱江都市

江苏体育休闲频道,江苏体育休闲频道,江苏体育休闲
江苏城市频道,江苏城市频道,江苏城市
江苏国际,江苏国际,江苏国际
江苏教育,江苏教育,江苏教育
江苏影视频道,江苏影视频道,江苏影视
江苏综艺频道,江苏综艺频道,江苏综艺
江苏公共新闻频道,江苏公共新闻频道,江苏公共新闻

南京十八频道,南京十八频道,南京十八生活
460,南京少儿,南京少儿
南京教科频道,南京教科频道,南京教科
458,南京文旅纪录,南京文旅纪录
南京新闻综合频道,南京新闻综合频道,南京新闻综合

广东珠江,广东珠江,广东珠江
广东体育,广东体育,广东体育
广州南国都市4K,广州南国都市4K,广州南国都市4K
广州影视,广州影视,广州影视
广州新闻,广州新闻,广州新闻
广州法治,广州法治,广州法治
广州综合,广州综合,广州综合
广州竞赛,广州竞赛,广州竞赛

云南娱乐,云南娱乐,云南娱乐
341,云南康旅,云南康旅
云南影视,云南影视,云南影视
云南都市,云南都市,云南都市

成都新闻,成都新闻,成都新闻综合CDTV1
成都经济,成都经济,成都经济资讯CDTV2
470,成都都市生活,成都都市生活CDTV3
471,成都影视文艺,成都影视文艺CDTV4
成都公共,成都公共,成都公共频道CDTV5
488096,成都少儿,成都少儿频道CDTV6

香港HK
翡翠台 (免費),翡翠台 (免費),翡翠台
明珠台 (免費),明珠台 (免費),明珠台
TVB Plus (免費),TVB Plus (免費),TVB Plus
TVB翡翠綜合臺(TVBJ1),TVB翡翠綜合臺(TVBJ1),TVB翡翠綜合臺(TVBJ1)
TVB星河,TVB星河,TVB星河
TVB生活台,TVB生活台,TVB生活台
TVB功夫台,TVB功夫台,TVB功夫台
TVB翡翠劇集臺(TVB Drama),TVB翡翠劇集臺(TVB Drama),TVB Drama 翡翠劇集臺
翡翠一臺(TVB1),翡翠一臺(TVB1),TVB1 翡翠一臺
460810,TVB 互動新聞台,TVB 互動新聞台
無綫新聞台 (免費),無綫新聞台 (免費),無綫新聞台
娛樂新聞台 (免費),娛樂新聞台 (免費),娛樂新聞台
千禧經典台,千禧經典台,千禧經典台
黃金翡翠台 (免費),黃金翡翠台 (免費),黄金翡翠台

鳳凰衛視中文台,鳳凰衛視中文台,鳳凰中文
鳳凰衛視資訊台,鳳凰衛視資訊台,鳳凰資訊
鳳凰衛視香港台,鳳凰衛視香港台,鳳凰香港

HOY 國際財經台,HOY 國際財經台,HOY76 國際財經台
HOY TV,HOY TV,HOY77
HOY 資訊台,HOY 資訊台,HOY78 資訊台
HOY生活台,HOY生活台,HOY74 生活台
HOY劇集台,HOY劇集台,HOY73 劇集台
HOY怪談台,HOY怪談台,HOY72 怪谈台
HOY體育台,HOY體育台,HOY75 體育台
SportsPlus,SportsPlus,HOY711 SportsPlus
Travel & Food TV,Travel & Food TV,HOY720 Travel & Food TV
spot on news,spot on news,HOY740 Spot on news

368550,港台电视31,RTHK31
368551,港台电视32,RTHK32
368552,港台电视33,RTHK33
368553,港台电视34,RTHK34
368554,港台电视35,RTHK35

美亞電影台,美亞電影台,美亞電影台
PopC,PopC,PopC
天映经典香港,天映经典香港,天映经典香港
天映经典马来西亚,天映经典马来西亚,天映经典马来西亚
天映频道马来西亚,天映频道马来西亚,天映频道马来西亚
天映频道印尼,天映频道印尼,天映频道印尼
翡翠台(超高清),翡翠台(超高清),翡翠台4K
亞洲劇台,亞洲劇台,亞洲劇台
Thrill,Thrill,Thrill
亞洲新聞台,亞洲新聞台,亞洲新聞台
半島電視台英語頻道,半島電視台英語頻道,半島電視台英語頻道Al Jazeera

viu6,viu6,viu6
ViuTV,ViuTV,ViuTV

爆谷台,爆谷台,爆谷台
Now爆谷星影台,Now爆谷星影台,Now爆谷星影台
now新聞,now新聞,now新聞
now財經,now財經,now財經
now直播,now直播,now直播
410384,Now Sports 4K 1,Now Sports 4K 1
